,Dni,Nom,Curso
635,B60410958,Pol Cáceres,B
636,J3353939F,Isabel Varela,D
637,D10065217,Xavier Bárcena Castillo,C
638,E65877607,Antonia Carlos Valderrama,E
639,F8025276J,Carla Ribas Ariño,D
640,H75562959,Bruno Lozano Galan,B
641,Q5177739I,Josefa de Muro,F
642,C27618396,Rosa Mariño,D
643,H75562959,Bruno Lozano Galan,E
644,W4345678I,Leo Franco Nieto,B
645,R8469182C,Nil Marc Blanco Barroso,C
646,W9727961F,Albert Cerdán Chamorro,E
647,P3012798I,Hugo Rueda,D
648,H48271738,Laia Oliveras Puente,D
649,B41571647,Mia Escudero Galan,E
650,C78976982,Pau del Avilés,E
651,F9589350I,Daniel Laguna,B
652,A71678262,Francisco Sanmartín,E
653,R5715872G,Emma de Almagro,F
654,J9967593F,Nil Patiño-Perea,A
655,W4284402G,Mia Ona Tirado Herranz,B
656,Q7967239J,Paula Agustín Gimeno,A
657,S3989833C,Aleix Jove Cantero,F
658,N1790348E,Arlet Huguet Coloma,D
659,G76937929,María Dolores Sofía Salvador Teruel,F
660,S9149045H,Pedro de Pellicer,D
661,B90285073,Lucia de Ballester,F
662,S6417982C,Arnau Gonzalo-Barrios,F
663,E85913895,Álex Juliá Cantón,F
664,E63659452,Joan Sales,F
665,P6713486F,Cristina Tomas Salvà,A
666,H37157526,Arlet Sala Narváez,B
667,P6887458E,Nil del Morillo,D
668,P3771212B,Josep de Martí,C
669,P2199273J,Enzo de Osorio,E
670,S0085490A,Ona Salvà Pizarro,A
671,P6579449G,Laura Manjón Barón,A
672,J3353939F,Isabel Varela,F
673,J8835130I,Carmen Salas Verdejo,A
674,D32512451,Albert Viña Gallardo,A
675,S0662896J,Álex Julián Cervantes,B
676,F0005249H,Arnau Huguet Chaparro,F
677,N6720616I,Cristina Coll Marín,B
678,W9218380E,Pol del Sanjuan,E
679,B37939139,Josep Casanovas Vázquez,C
680,W1247153H,Martina Nuñez Estevez,A
681,H36269512,Antonia Cuevas,B
682,C87660817,María Dolores Romeu-Bastida,B
683,E99188005,Biel Alcalde Samper,A
684,A84080670,Joan de Olmedo,F
685,H59430249,Júlia Aramburu Delgado,A
686,S5329165D,Hugo Sanz Amat,B
687,E65793119,Enzo Leiva-Sainz,A
688,R4624337D,Anna del Otero,C
689,G71220651,Júlia Gras Porta,F
690,B90285073,Lucia de Ballester,C
691,D51426096,Paula de Cantero,B
692,H34184069,Bruno del Ojeda,B
693,H31037914,Laura Llorente Olivares,E
694,B41571647,Mia Escudero Galan,D
695,N8631109I,Francisca Martina Rodríguez Hoyos,D
696,P3012798I,Hugo Rueda,E
697,A04422861,Francisca Rubio Paredes,A
698,W1247153H,Martina Nuñez Estevez,F
699,Q2116390B,Francisca Marta Arias Ferrero,B
700,W5008386D,Laura Montes Céspedes,D
701,F4119576I,Carlos Mayoral Cervantes,C
702,H59430249,Júlia Aramburu Delgado,D
703,G45806411,Hugo Torres Iborra,C
704,N7090594H,Chlóe Plana Echevarría,C
705,G13084090,Lucas Ocaña Huertas,C
706,E88184023,Bruno Recio Cid,D
707,Q7832857B,Valèria Sánchez,F
708,S0727486C,Adam Aliaga Pons,A
709,F8100344D,Abril Macías Guardiola,A
710,H70835210,Joan de Cañas,F
711,B22399109,Clàudia Valdés Jover,F
712,U4804259B,Max Goñi Dávila,F
713,A84080670,Joan de Olmedo,D
714,D94996444,Núria Miguel Huertas,F
715,D43493675,Èric Marin Comas,C
716,E34862805,Rosa Porta,E
717,N5426927I,Aleix Cervera Alfaro,C
718,W9727961F,Albert Cerdán Chamorro,A
719,B31484074,Jordi Cuenca Blanes,C
720,J2387634E,Martí Antonio Nicolás Giner,A
721,Q7010862F,Miguel Torrens Fernandez,D
722,P3351363A,María Dolores Montesinos Marin,F
723,N9805030E,Laia Real Sanmartín,A
724,N2518597F,Noa de Grande,E
725,S3409072J,Adam del Lara,C
726,U9961248C,Pau Priego Paniagua,E
727,E23616857,Marc Luz Casas,A
728,S1017264A,Rosa Vigil,C
729,J8918438F,Francisco Roldan,E
730,U7141532G,Pau Talavera Moliner,B
731,Q0041000A,David Chaves Cantero,A
732,H19110485,María de Villena,A
733,B57625451,Antonia Campoy Alcalde,C
734,W4699949F,Mia Catalán Barros,D
735,D57989162,Noa Carnero Cortés,B
736,V8231148A,Ona de Arjona,B
737,F8773593B,David Sainz-Royo,C
738,D57672396,Chlóe Tomas Santamaria,A
739,Q7010862F,Miguel Torrens Fernandez,D
740,N2845937H,Montserrat Manzanares-Herrero,D
741,P3410537I,Martí Paredes,A
742,G37728771,Noa Gallego Martin,A
743,S9149045H,Pedro de Pellicer,A
744,J3751394B,Josep Ramón Palomar Múgica,A
745,Q9766397E,Francisco de Cabezas,D
746,H03012952,Mia Méndez Ribes,C
747,A94992674,Nil del Roselló,B
748,H64502842,Pau Valencia Martinez,B
749,E48027734,Francisco Arnau Calderón Ángel,A
750,U0533919G,Carla Pi Falcó,B
751,V2447244A,Jordi Vilar Fortuny,B
752,P5728622A,Daniel Castillo Hurtado,A
753,S7366447F,Carlos Crespi Perales,E
754,A62916705,Cristina Leiva Quevedo,B
755,J5466519E,Arnau Lerma Catalá,E
756,D10065217,Xavier Bárcena Castillo,E
757,Q4579611G,Leo Verdú Sastre,B
758,P2199273J,Enzo de Osorio,F
759,N7359672H,Daniel Bartolomé Vilar,B
760,W7861640F,Aleix de Fiol,F
761,P6887458E,Nil del Morillo,D
762,R4624337D,Anna del Otero,D
763,H46432969,Antònia Noa Pedrero Diéguez,F
764,A78168275,Montserrat Arrieta Baquero,E
765,J5155116F,Júlia Abellán-Pou,F
766,R3314974A,María Teresa Ona Ferrándiz Donoso,C
767,Q4232915A,Antònia Colomer Blanca,E
768,E50536853,Max Aragonés Cabello,C
769,S9149045H,Pedro de Pellicer,D
770,D07727019,Álex Hervia Vazquez,D
771,H49305378,Antonio Sanjuan Belda,E
772,R3314974A,María Teresa Ona Ferrándiz Donoso,D
773,C28777001,Ana Vidal Lamas,B
774,N5426927I,Aleix Cervera Alfaro,F
775,G68200534,Martina Cano Pineda,C
776,C64875321,Pau del Bayón,B
777,C26701623,Arnau Bertrán Aragón,D
778,R3314974A,María Teresa Ona Ferrándiz Donoso,A
779,H19110485,María de Villena,E
780,E52404001,Josefa Uriarte,B
781,Q0041000A,David Chaves Cantero,B
782,D18702910,Marc Villar Nicolás,F
783,S7366447F,Carlos Crespi Perales,A
784,G26285767,Hugo del Núñez,A
785,D57672396,Chlóe Tomas Santamaria,C
786,H42115923,Clàudia Perea Bermudez,A
787,P3410537I,Martí Paredes,E
788,C52853389,Carla Leiva Pacheco,E
789,Q7010862F,Miguel Torrens Fernandez,D
790,N2423224A,Biel de Guitart,B
791,E47464060,Francisco Palomares Ocaña,D
792,J5155116F,Júlia Abellán-Pou,C
793,U7141532G,Pau Talavera Moliner,A
794,D64321540,María Dolores del Boada,E
795,J1443172J,Pau Javier Lara Tur,B
796,P2302883J,Èric Font Vargas,C
797,G26285767,Hugo del Núñez,D
798,B29905627,Pol Gómez Isern,C
799,F0005249H,Arnau Huguet Chaparro,E
800,S0662896J,Álex Julián Cervantes,E
801,J3659481J,Clàudia Sancho Aragón,F
802,G19357722,Núria Olmedo-Portero,D
803,D03554946,Joan Azcona,B
804,Q7832857B,Valèria Sánchez,B
805,H64288004,Abril Samper Ibáñez,F
806,F7093027F,Bruno Valderrama-Gutierrez,E
807,P3351363A,María Dolores Montesinos Marin,B
808,F9340007E,Chlóe Moliner,D
809,J4450361C,Júlia Cano Amorós,A
810,B27774157,Jordi Revilla,B
811,Q2116390B,Francisca Marta Arias Ferrero,F
812,A62916705,Cristina Leiva Quevedo,F
813,N2518597F,Noa de Grande,C
814,H46432969,Antònia Noa Pedrero Diéguez,D
815,R7616148H,Carmen Jana Taboada Almansa,C
816,U4578017H,Paula Canet Nuñez,C
817,H42115923,Clàudia Perea Bermudez,E
818,H46432969,Antònia Noa Pedrero Diéguez,C
819,S3409072J,Adam del Lara,D
820,D64321540,María Dolores del Boada,D
821,D64321540,María Dolores del Boada,D
822,S8355279D,Antonia Bermejo Bayo,D
823,B60410958,Pol Cáceres,A
824,V3380673H,Enzo Alberdi Sainz,D
825,E47464060,Francisco Palomares Ocaña,D
826,G07621824,Sara Ángel Nieto,F
827,W9073176A,Èric Cortina Vazquez,E
828,J3353939F,Isabel Varela,F
829,N2759694I,María Dolores Júlia Montenegro Ramón,B
830,H31037914,Laura Llorente Olivares,B
831,P0280894G,Leo Gaya Laguna,E
832,B27774157,Jordi Revilla,F
833,H48271738,Laia Oliveras Puente,C
834,V4665297J,Juan Cruz Pallarès,D
835,B41571647,Mia Escudero Galan,E
836,F9314032E,David Luís Tolosa,E
837,D86117876,Enzo Gimeno Carnero,A
838,Q2834551J,Noa Ordóñez,A
839,H44219327,David de Carretero,E
840,W9218380E,Pol del Sanjuan,A
841,P5810009J,Ramón Donoso Aguilar,A
842,N7359672H,Daniel Bartolomé Vilar,C
843,P0280894G,Leo Gaya Laguna,B
844,U4683589H,Carla Corbacho-Escribano,A
845,G15254279,Josep Pera,C
846,D59333971,Anna Montaña-Uriarte,E
847,V8982148B,Carlos Carlos Espejo,B
848,A53234324,Marc Navas Bermúdez,A
849,N1790348E,Arlet Huguet Coloma,A
850,Q9766397E,Francisco de Cabezas,C
851,P6579449G,Laura Manjón Barón,E
852,P8832380C,María Dolores Luz-Pera,D
853,F8100344D,Abril Macías Guardiola,F
854,V3555537D,Montserrat Bayo Garay,E
855,F6017604G,Biel Sedano Oliveras,C
856,V7809521C,Antònia Anna Saez Belda,A
857,W4284402G,Mia Ona Tirado Herranz,A
858,P2473520A,Sílvia Carnero Bas,E
859,R7687550I,Juan Pozuelo Vila,B
860,U5982724F,Jorge Manzano-Oliver,E
861,Q9514578E,Anna Benítez Rovira,E
862,B22399109,Clàudia Valdés Jover,E
863,D64321540,María Dolores del Boada,B
864,P3798114I,Ana de Larrea,A
865,N9805030E,Laia Real Sanmartín,C
866,C29574233,Sílvia Ana Mármol Vázquez,D
867,J8863857B,Rosa Alberola Coll,E
868,S7366447F,Carlos Crespi Perales,E
869,S3945679C,Daniel Ródenas Lastra,D
870,A27475888,Javier Sedano Izquierdo,D
871,P2473520A,Sílvia Carnero Bas,B
872,F2328450H,Pol Bosch Sanabria,C
873,S1410175B,Lucas Frutos Andrés,F
874,S1267649J,Carmen Corominas,B
875,N2759694I,María Dolores Júlia Montenegro Ramón,F
876,F9314032E,David Luís Tolosa,A
877,N6468272G,Joan Ortuño Segura,C
878,B36032787,Sara Alfonso Cortes,A
879,W4799866A,Manuel Cózar Albero,C
880,G29421625,Isabel Aramburu Baquero,C
881,G08809550,Biel Alberto Berrocal,E
882,P3410537I,Martí Paredes,E
883,G44377703,Noa Mate Diego,F
884,E96573001,Sara Gárate Nuñez,F
885,J3353939F,Isabel Varela,E
886,G26285767,Hugo del Núñez,C
887,H46432969,Antònia Noa Pedrero Diéguez,B
888,G13084090,Lucas Ocaña Huertas,A
889,A90436353,Júlia Saura-Colomer,B
890,U4804259B,Max Goñi Dávila,F
891,F8025276J,Carla Ribas Ariño,E
892,S2330516B,Arnau David Armas Carreño,C
893,S1410175B,Lucas Frutos Andrés,F
894,C62524582,Paula Molina Barba,D
895,G79531372,Laia Seguí,E
896,N1790348E,Arlet Huguet Coloma,C
897,Q5328944C,Xavier Carrillo Iglesia,F
898,E01391861,José Pi Alvarez,E
899,F9589350I,Daniel Laguna,D
900,G08270886,José María de Galvez,C
901,H47198551,Marta Goicoechea Mercader,B
902,F9314032E,David Luís Tolosa,B
903,P2473520A,Sílvia Carnero Bas,D
904,W8974025B,Dolores Mayol Cabrero,D
905,E23616857,Marc Luz Casas,F
906,S9029257D,Francisco Vilanova Mármol,F
907,J7285606E,Emma Pallarès-Colom,E
908,H42115923,Clàudia Perea Bermudez,D
909,D89560940,Xavier de Ribes,E
910,B39226162,Jana Villanueva Quirós,F
911,G37728771,Noa Gallego Martin,C
912,R1233513I,Cristina Fábregas Domingo,F
913,P2302883J,Èric Font Vargas,D
914,J3659481J,Clàudia Sancho Aragón,B
915,E52404001,Josefa Uriarte,D
916,U0847812E,Abril Andres Herrera,D
917,D86117876,Enzo Gimeno Carnero,B
918,Q9766397E,Francisco de Cabezas,A
919,C48788897,Clàudia Manzanares Angulo,D
920,A90436353,Júlia Saura-Colomer,D
921,D83545129,Francisca Font Navarro,F
922,U7038519J,Ana Cortina Rubio,A
923,J5068533H,Rosa Ramis,F
924,A95064218,Montserrat Martin Saez,B
925,D94996444,Núria Miguel Huertas,D
926,S0727486C,Adam Aliaga Pons,B
927,F2776503A,Francisca Ureña,E
928,J3512655F,Enzo Escolano Sanmiguel,A
929,G76937929,María Dolores Sofía Salvador Teruel,A
930,G68200534,Martina Cano Pineda,E
931,E65877607,Antonia Carlos Valderrama,A
932,S1017264A,Rosa Vigil,D
933,E73982548,Júlia Palomino Company,C
934,F8713241A,Antonio Catalá,A
935,H46432969,Antònia Noa Pedrero Diéguez,F
936,N0362161B,Álex Jordi Cuéllar Cardona,A
937,S1898085D,Biel Vazquez Valverde,B
938,G68200534,Martina Cano Pineda,F
939,B88818059,Martina María Carreño Villaverde,D
940,C99290520,Antònia Baró-Elías,B
941,H31037914,Laura Llorente Olivares,C
942,G68200534,Martina Cano Pineda,E
943,G07621824,Sara Ángel Nieto,E
944,E01391861,José Pi Alvarez,B
945,P6713486F,Cristina Tomas Salvà,A
946,E25450909,Martina Paredes-Falcó,D
947,U9830036A,Núria Goicoechea Milla,E
948,N5762693I,Josep Ramírez,B
949,B27774157,Jordi Revilla,B
950,H04319513,Lucia Castells Huerta,C
951,E47909023,Sílvia Pinilla Hervás,D
952,E63638506,Bruno Andreu-Andrade,A
953,S0662896J,Álex Julián Cervantes,D
954,U4804259B,Max Goñi Dávila,E
955,N6853244I,Bruno del Canales,B
956,P6353735A,Rosa del Neira,F
957,A28346542,Martina Fuentes-Moll,D
958,Q7832857B,Valèria Sánchez,B
959,J2387634E,Martí Antonio Nicolás Giner,A
960,B64747389,Èric Roman Mena,F
961,E23616857,Marc Luz Casas,C
962,G37728771,Noa Gallego Martin,A
963,Q0552283D,Clàudia Verdú-Montalbán,D
964,V3555537D,Montserrat Bayo Garay,D
965,N9624314B,Júlia Vera-Bueno,C
966,P2473520A,Sílvia Carnero Bas,D
967,D64321540,María Dolores del Boada,A
968,F3391179C,Abril Toledo,F
969,W2486654C,Sofía Abril Caro Rocamora,C
970,P4346331D,Bruno Joan Fernandez Rozas,C
971,V3555537D,Montserrat Bayo Garay,E
972,H13226295,Pau Rosado Palomar,B
973,C17131251,Lucia Uribe,B
974,W7861640F,Aleix de Fiol,A
975,C78976982,Pau del Avilés,B
976,A30004071,Pau Peláez Cano,F
977,D62147475,Josep Blázquez,F
978,B97041974,María Dolores Aramburu Galindo,C
979,H31037914,Laura Llorente Olivares,C
980,N2423224A,Biel de Guitart,E
981,G92617570,Carmen del Martín,B
982,P2473520A,Sílvia Carnero Bas,D
983,P1659317J,Hugo Castrillo Otero,B
984,C26701623,Arnau Bertrán Aragón,E
985,S5147401C,María Del Carmen Blazquez,B
986,A27475888,Javier Sedano Izquierdo,C
987,N2759694I,María Dolores Júlia Montenegro Ramón,E
988,D89560940,Xavier de Ribes,C
989,N3620309I,Dolores Gelabert,E
990,H02560167,Enzo Quesada,A
991,H73279598,Jordi Manrique Verdugo,E
992,F1978921C,Jordi Canals,D
993,A30004071,Pau Peláez Cano,C
994,G99523896,Pau Ros Pallarès,A
995,A42249482,Marta del Bernat,B
996,Q5968253D,Noa Planas Rincón,B
997,H95977138,Adam Galán Cáceres,F
998,S8641797I,Aina Pi Trujillo,C
999,B31484074,Jordi Cuenca Blanes,D
1000,R7687550I,Juan Pozuelo Vila,D
1001,P5810009J,Ramón Donoso Aguilar,B
1002,H75562959,Bruno Lozano Galan,B
1003,V2167857H,Manuel Cerro Pol,A
1004,F9589350I,Daniel Laguna,D
1005,S0085490A,Ona Salvà Pizarro,A
1006,S0085490A,Ona Salvà Pizarro,F
1007,J9967593F,Nil Patiño-Perea,C
1008,N1790348E,Arlet Huguet Coloma,E
1009,N3380714J,Clàudia Espejo Benitez,D
1010,J2410709F,Júlia Montenegro Muro,E
1011,J2259741C,María Bayo Cózar,D
1012,Q9771076H,Valèria Tomas Ramírez,C
1013,N0515267C,Noa Ochoa Bartolomé,E
1014,A94992674,Nil del Roselló,A
1015,Q5968253D,Noa Planas Rincón,A
1016,G13084090,Lucas Ocaña Huertas,B
1017,Q5285042G,Manuel Galiano Teruel,A
1018,P2473520A,Sílvia Carnero Bas,C
1019,S3651419H,Enzo Carnero-Aliaga,C
1020,G92617570,Carmen del Martín,C
1021,C56963325,Abril Díez,F
1022,S2330516B,Arnau David Armas Carreño,F
1023,V5995012A,Laura Roma Boix,B
1024,B90285073,Lucia de Ballester,B
1025,W4799866A,Manuel Cózar Albero,A
1026,B41571647,Mia Escudero Galan,C
1027,R3314974A,María Teresa Ona Ferrándiz Donoso,A
1028,H95977138,Adam Galán Cáceres,C
1029,U4578017H,Paula Canet Nuñez,C
1030,G26285767,Hugo del Núñez,A
1031,J9643335D,Juan Maldonado Mayol,B
1032,E09453762,Ona Talavera Abascal,E
1033,S9149045H,Pedro de Pellicer,A
1034,W4799866A,Manuel Cózar Albero,D
1035,S6417982C,Arnau Gonzalo-Barrios,B
1036,H48271738,Laia Oliveras Puente,E
1037,R8192469H,Enzo Escalona Morales,A
1038,S9149045H,Pedro de Pellicer,F
1039,D64321540,María Dolores del Boada,C
1040,C52853389,Carla Leiva Pacheco,F
1041,Q2116390B,Francisca Marta Arias Ferrero,C
1042,J8150128J,Cristina Reina Santana,E
1043,Q5285042G,Manuel Galiano Teruel,B
1044,P3012798I,Hugo Rueda,B
1045,U3073814J,Jordi Carretero-Sáez,B
1046,N5426927I,Aleix Cervera Alfaro,D
1047,R1233513I,Cristina Fábregas Domingo,B
1048,G45806411,Hugo Torres Iborra,E
1049,C47311329,Sofía Guzman Villar,B
1050,U8112016D,Joan Villalobos Carnero,C
1051,H48271738,Laia Oliveras Puente,C
1052,A94611183,Antònia Frías Macías,E
1053,U4804259B,Max Goñi Dávila,C
1054,A94992674,Nil del Roselló,F
1055,N5447529H,Daniel Giménez Córdoba,F
1056,E01391861,José Pi Alvarez,B
1057,N3620309I,Dolores Gelabert,A
1058,F8025276J,Carla Ribas Ariño,B
1059,G07621824,Sara Ángel Nieto,C
1060,Q7554170F,José María Cuenca-Pera,F
1061,P4297671B,David Daniel Prada Arnau,E
1062,P7482565D,Nil Rosselló Flor,D
1063,P3240555G,Francisca Buendía Vigil,A
1064,N2845937H,Montserrat Manzanares-Herrero,C
1065,S0727486C,Adam Aliaga Pons,E
1066,R5715872G,Emma de Almagro,A
1067,A42249482,Marta del Bernat,C
1068,Q2116390B,Francisca Marta Arias Ferrero,C
1069,F1405226J,Adam Abella Valle,E
1070,S8651023G,Adam Pombo Palomo,F
1071,C26701623,Arnau Bertrán Aragón,D
1072,Q2116390B,Francisca Marta Arias Ferrero,D
1073,N2518597F,Noa de Grande,B
1074,H34827741,David Olivares-Julián,B
1075,S9149045H,Pedro de Pellicer,C
1076,C99290520,Antònia Baró-Elías,F
1077,G83025460,Noa Cueto Ribas,C
1078,E63659452,Joan Sales,C
1079,W1495808F,Èric Arnaiz,C
1080,A84080670,Joan de Olmedo,C
1081,D18702910,Marc Villar Nicolás,A
1082,H19110485,María de Villena,D
1083,P3798114I,Ana de Larrea,C
1084,R4624337D,Anna del Otero,B
1085,H31037914,Laura Llorente Olivares,F
1086,H47198551,Marta Goicoechea Mercader,A
1087,G37728771,Noa Gallego Martin,D
1088,C17131251,Lucia Uribe,A
1089,B97041974,María Dolores Aramburu Galindo,A
1090,Q4232915A,Antònia Colomer Blanca,C
1091,H42115923,Clàudia Perea Bermudez,C
1092,V8231148A,Ona de Arjona,E
1093,H42115923,Clàudia Perea Bermudez,C
1094,B41571647,Mia Escudero Galan,B
1095,A84080670,Joan de Olmedo,B
1096,A51927812,Lucas Jordi Rodriguez Lobo,A
1097,V3042112G,Bruno Martorell,A
1098,G44377703,Noa Mate Diego,B
1099,F7093027F,Bruno Valderrama-Gutierrez,A
1100,H02560167,Enzo Quesada,F
1101,D78897097,Núria Verdejo Arteaga,F
1102,S9149045H,Pedro de Pellicer,E
1103,H34827741,David Olivares-Julián,F
1104,N3620309I,Dolores Gelabert,A
1105,F9340007E,Chlóe Moliner,C
1106,J4051218H,Daniel Bermudez Sosa,A
1107,F5675046F,José Carballo Gutierrez,D
1108,P6353735A,Rosa del Neira,D
1109,G96947643,María Del Carmen Esparza Godoy,E
1110,J8863857B,Rosa Alberola Coll,C
1111,G37728771,Noa Gallego Martin,D
1112,D81900805,Rosa Carrión Bauzà,B
1113,N4218554F,Francisco Sanz Perea,D
1114,P2473520A,Sílvia Carnero Bas,C
1115,J3751394B,Josep Ramón Palomar Múgica,E
1116,J5181672F,Álex del Domínguez,A
1117,V2447244A,Jordi Vilar Fortuny,F
1118,D77234466,Enzo Albert Roselló Castejón,D
1119,G61008355,Arlet Lladó Diego,F
1120,Q5809313I,Biel Segovia Pedrero,A
1121,P6057674A,María Del Carmen Valèria Raya Mena,E
1122,U4804259B,Max Goñi Dávila,E
1123,D89560940,Xavier de Ribes,F
1124,E65877607,Antonia Carlos Valderrama,F
1125,F8773593B,David Sainz-Royo,B
1126,W4359932C,Dolores del Miguel,C
1127,A13684352,Leo Adam Saavedra Verdejo,A
1128,F2431907A,Sílvia Pino Torrent,B
1129,P3478472H,Laura Mata-Nicolás,A
1130,H13226295,Pau Rosado Palomar,E
1131,E25161068,Marta Oliver Alfaro,D
1132,C17131251,Lucia Uribe,D
1133,F8713241A,Antonio Catalá,F
1134,D32512451,Albert Viña Gallardo,F
1135,D57672396,Chlóe Tomas Santamaria,E
1136,S9149045H,Pedro de Pellicer,F
1137,C06753156,Lucas Paniagua Llano,B
1138,A12410726,Josep Caro Mayoral,C
1139,Q9514578E,Anna Benítez Rovira,E
1140,D18702910,Marc Villar Nicolás,B
1141,P6353735A,Rosa del Neira,F
1142,W0083928B,Sara Gil Jordán,D
1143,H13226295,Pau Rosado Palomar,B
1144,H70835210,Joan de Cañas,D
1145,A35443936,Pol Salgado Buendía,A
1146,G73658932,Laura Bilbao Sala,A
1147,P3351363A,María Dolores Montesinos Marin,B
1148,J2410709F,Júlia Montenegro Muro,B
1149,F1978921C,Jordi Canals,C
1150,P2199273J,Enzo de Osorio,B
1151,P3351363A,María Dolores Montesinos Marin,C
1152,J0165116E,Carmen Salcedo Gomila,B
1153,N4218554F,Francisco Sanz Perea,E
1154,N2759694I,María Dolores Júlia Montenegro Ramón,C
1155,E63659452,Joan Sales,F
1156,N5762693I,Josep Ramírez,D
1157,Q4579611G,Leo Verdú Sastre,B
1158,B28472710,Emma María Teresa Sureda Estevez,E
1159,S3409072J,Adam del Lara,F
1160,W4799866A,Manuel Cózar Albero,B
1161,R4624337D,Anna del Otero,F
1162,N8496367G,Ona de Torrens,C
1163,S3409072J,Adam del Lara,C
1164,P0280894G,Leo Gaya Laguna,D
1165,Q9771076H,Valèria Tomas Ramírez,B
1166,F2328450H,Pol Bosch Sanabria,C
1167,S3651419H,Enzo Carnero-Aliaga,D
1168,D59333971,Anna Montaña-Uriarte,B
1169,N1790348E,Arlet Huguet Coloma,F
1170,R5336309I,Rosa Torralba Rozas,B
1171,U2440145G,María Teresa Sierra Figueras,C
1172,V4055410G,Clàudia Lobo,F
1173,N7185603C,Arlet Chaves Roldan,A
1174,W2486654C,Sofía Abril Caro Rocamora,D
1175,N4218554F,Francisco Sanz Perea,B
1176,S8162432B,Jan Albert Marqués Rodrigo,B
1177,V5404049H,Biel Pau Tolosa Llorens,A
1178,C78976982,Pau del Avilés,A
1179,J0165116E,Carmen Salcedo Gomila,C
1180,P4297671B,David Daniel Prada Arnau,A
1181,F8299437G,Lucas Marc Robledo Hernandez,C
1182,R1153706E,Carlos Capdevila,E
1183,B48122808,Sara Jaume Lobo,A
1184,D05154323,Paula Tomás Bello,B
1185,N5111030B,Carlos Ramírez Benavent,A
1186,H36269512,Antonia Cuevas,C
1187,N7359672H,Daniel Bartolomé Vilar,B
1188,G73658932,Laura Bilbao Sala,D
1189,E05105093,Paula Azorin,C
1190,A09069840,Leo Abellán,A
1191,U7308622E,Mia Palomares-Torrijos,C
1192,P2199273J,Enzo de Osorio,E
1193,P3531278D,Èric de Agustí,B
1194,N1790348E,Arlet Huguet Coloma,E
1195,P6887458E,Nil del Morillo,D
1196,S0085490A,Ona Salvà Pizarro,F
1197,W8922173C,Álex Amo Alcalá,E
1198,H42115923,Clàudia Perea Bermudez,C
1199,D76934231,Álex Carballo Aranda,F
1200,J7285606E,Emma Pallarès-Colom,A
1201,P9570503D,Ramón Heras Pereira,D
1202,H92027010,Ana Tello Alemán,D
1203,J9967593F,Nil Patiño-Perea,B
1204,H78024064,Max Quintana-Morales,F
1205,H31037914,Laura Llorente Olivares,B
1206,C95560819,Biel Hierro Salom,D
1207,B11913498,Pedro Ricart Cantón,B
1208,G71220651,Júlia Gras Porta,B
1209,E55193205,Laia Boix Montenegro,E
1210,P1659317J,Hugo Castrillo Otero,C
1211,N8631109I,Francisca Martina Rodríguez Hoyos,E
1212,C52853389,Carla Leiva Pacheco,B
1213,D28897957,Marc Sarabia Zabala,B
1214,F6804250F,María Dolores Ferrández Colom,A
1215,G13084090,Lucas Ocaña Huertas,F
1216,S9346078J,Francisco Pareja Peinado,D
1217,F2431907A,Sílvia Pino Torrent,D
1218,J4450361C,Júlia Cano Amorós,F
1219,S6417982C,Arnau Gonzalo-Barrios,C
1220,B11913498,Pedro Ricart Cantón,F
1221,W1796907B,Mia Abellán Pulido,E
1222,P2473520A,Sílvia Carnero Bas,E
1223,N5111030B,Carlos Ramírez Benavent,D
1224,B19312776,Aleix Doménech Pombo,A
1225,B41571647,Mia Escudero Galan,D
1226,V4046368I,María Dolores Mendez Sebastián,C
1227,F2776503A,Francisca Ureña,A
1228,E73982548,Júlia Palomino Company,A
1229,G65300782,Juan Rodrigo-Mercader,D
1230,N9882065G,Francisca Luís Aller,A
1231,A10128536,Èric Roman Guijarro,B
1232,V5404049H,Biel Pau Tolosa Llorens,E
1233,S9149045H,Pedro de Pellicer,D
1234,C56963325,Abril Díez,F
1235,D05154323,Paula Tomás Bello,A
1236,N1768263D,Èric Bolaños,E
1237,E71649230,Carmen Herrero Sureda,C
1238,Q7554170F,José María Cuenca-Pera,C
1239,P1659317J,Hugo Castrillo Otero,E
1240,Q7967239J,Paula Agustín Gimeno,E
1241,S1410175B,Lucas Frutos Andrés,A
1242,W4799866A,Manuel Cózar Albero,F
1243,H15620032,Noa Gárate,A
1244,Q4579611G,Leo Verdú Sastre,C
1245,H19110485,María de Villena,A
1246,H92027010,Ana Tello Alemán,C
1247,H34827741,David Olivares-Julián,F
1248,S0662896J,Álex Julián Cervantes,F
1249,G96947643,María Del Carmen Esparza Godoy,F
1250,N3504030B,Antònia Marquez Rebollo,B
1251,A94992674,Nil del Roselló,C
1252,B64747389,Èric Roman Mena,A
1253,B41571647,Mia Escudero Galan,A
1254,P7855416I,Leo Bustamante Zapata,D
1255,E50342690,Ana Anna Perea Bermúdez,B
1256,C95560819,Biel Hierro Salom,C
1257,N3620309I,Dolores Gelabert,F
1258,P2302883J,Èric Font Vargas,D
1259,J5068533H,Rosa Ramis,E
1260,B41571647,Mia Escudero Galan,E
1261,H95977138,Adam Galán Cáceres,D
1262,W3053262F,Xavier Batlle-Mur,A
1263,P7855416I,Leo Bustamante Zapata,B
1264,E23616857,Marc Luz Casas,A
1265,R3314974A,María Teresa Ona Ferrándiz Donoso,D
